Hán Tự,Pinyin,Nghĩa 1,Hán Việt,Nghĩa 2
埋葬,máizàng,mai táng,,
城堡,chéngbǎo,"thành nhỏ, thành lũy",,
城市,chéngshì,thành thị,,
培养,péiyǎng,"bồi dưỡng, đào tạo",,
培育,péiyù,"bồi dưỡng, đào tạo",,
培训,péixùn,"huấn luyện, đào tạo",,
基因,jīyīn,gien,,
基地,jīdì,"căn cứ, khu vực nền tảng",,
基本,jīběn,cơ bản,,
基础,jīchǔ,"nền tảng, cơ sở",,
基金,jījīn,"quỹ, ngân sách",,
堆,duī,"chồng chất, xếp chồng",,
堆积,duījī,"chồng chất, tích tụ",,
堕落,duòluò,"sa ngã, trụy lạc",,
堤坝 ,dībà ,"đê đập, đê điều",,
堵塞,dǔsè,tắc nghẽn,,
堵车,dǔchē,kẹt xe,,
塌,tā,"đổ, sụp, sụt",,
塑料,sùliào,"nhựa, chất dẻo",,
塑料袋,sùliào dài,"túi nhựa, bao nylon",,
塑造,sùzào,"đắp nặn, miêu tả",,
塔,tǎ,"tháp, cái tháp",,
填,tián,"điền, điền (chữ)",,
填空,tiánkòng,điền vào….,,
境界,jìngjiè,"ranh giới, cương giới",,
墙,qiáng,tường,,
增加,zēngjiā,"tăng gia, gia tăng",,
增添,zēngtiān,"tăng, tăng thêm",,
增经,zēng jīng,"từng, đã từng",,
增进,zēngjìn,"tăng tiến, tăng thêm",,
增长,zēngzhǎng,tăng trưởng,,
墨,mò,"mực tàu, mực",,
墨水儿,mòshuǐ er,"mực viết , mực chai; trí thức, học vấn",,
士兵,shìbīng,"sĩ binh, binh sĩ",,
壮丽,zhuànglì,tráng lệ,,
壮烈,zhuàngliè,"lừng lẫy, oanh liệt",,
壮观,zhuàngguān,"đồ sộ, hùng vĩ, nguy nga",,
声势,shēngshì,thanh thế,,
声明,shēngmíng,"tuyên bố, thanh minh",,
声誉,shēngyù,danh dự,,
声调,shēngdiào,thanh điệu,,
声音,shēngyīn,"thanh âm, âm thanh",,
壶,hú,"ấm, bình, hũ",,
处,chù,"nơi, trốn",,
处世,chǔshì,xử thế,,
处分,chǔfèn,"xử phạt, xử lý",,
处境,chǔjìng,"cảnh ngộ, hoàn cảnh",,
处理,chǔlǐ,xử lý,,
处置,chǔzhì,xử trí,,
备份,bèifèn,dành trước,,
备忘录,bèiwànglù,bản ghi nhớ,,
复习,fùxí,ôn tập,,
复兴,fùxīng,phục hưng,,
复制,fùzhì,phục chế,,
复印,fùyìn,"photo, sao chép",,
复杂,fùzá,phức tạp,,
复活,fùhuó,"sống lại, phục sinh",,
夏,xià,mùa Hạ,,
夏令营,xiàlìngyíng,trại hè,,
夏季,xiàjì,mùa Hạ,,
夕阳,xīyáng,"mặt trời chiều, ánh tà",,
外,wài,ngoại,,
外交,wàijiāo,ngoại giao,,
外向,wàixiàng,hướng ngoại,,
外国,wàiguó,nước ngoài,,
外地,wàidì,"nơi khác, vùng khác",,
外界,wàijiè,bên ngoài,,
外行,wàiháng,ngoài ngành,,
外表,wàibiǎo,"bề ngoài, bên ngoài",,
外边,wàibian,bên ngoài,,
外面,wàimiàn,bên ngoài,,
多,duō,nhiều,,
多么,duōme,"bao nhiêu, bao xa, biết bao",,
多亏,duōkuī,"may mắn, may mà",,
多余,duōyú,dưa; thừa; không cần,,
多元化,duōyuán huà,đa nguyên hóa,,
多少,duōshǎo,bao nhiêu (số lượng),,
多数,duōshù,"đa số, số nhiều",,
夜,yè,"tối, đêm",,
够,gòu,đủ,,
大,dà,"lớn, đại",,
大不了,dàbùliǎo,"chẳng qua, chỉ là",,
大伙儿,dàhuǒ er,mọi người,,
大体,dàtǐ,"đạo lý quan trọng, nói đại thể",,
大使,dàshǐ,đại sứ,,
大使馆,dàshǐ guǎn,đại sứ quán,,
大厦,dàshà,"lâu đài, cao ốc",,
大型,dà xíng,loại lớn,,
大夫,dàfū,"bác sĩ, đại phu",,
大学,dàxué,đại học,,
大家,dàjiā,"mọi người, đại gia",đại gia,
大意,dàyì,đại ý,,
大方,dàfāng,"rộng rãi, độ lượng",,
大树,dà shù,"cây to, đại thụ",,
大概,dàgài,đại khái,,
大约,dàyuē,khoảng,,
大肆,dàsì,"trắng trợn, không kiêng nể",,
大胆,dàdǎn,to gan,,
大脑,dànǎo,"não, đại  não",,
大臣,dàchén,đại thần,,
大致,dàzhì,"đại thể, đại khái",,
大象,dà xiàng,"đại tượng, con voi",,
大部分,dà bùfèn,"đại bộ phận, phần lớn",,
天,tiān,"ngày, trời",,
天下,tiānxià,thiên hạ,,
天伦之乐,tiānlún zhī lè,,,
天堂,tiāntáng,thiên đường,,
天天,tiāntiān,ngày ngày,,
天才,tiāncái,thiên tài,,
天文,tiānwén,thiên văn,,
天气,tiānqì,thời tiết,,
天然气,tiānránqì,khí thiên nhiên,,
天生,tiānshēng,trời sinh,,
天真,tiānzhēn,"thiên chân, ngây thơ, hồn nhiên",,
天空,tiānkōng,"thiên không, bầu trời",,
太,tài,"quá, THÁI",,
太太,tàitài,"thái thái, vợ",,
太极拳,tàijí quán,tái cực quyền,,
太空,tàikōng,"vũ trụ, bầu trời coa",,
太阳,tàiyáng,"thái dương, mặt trời",,
夫人,fūrén,phu nhân,,
夫妇,fūfù,"phu phụ, vợ chồng",,
夫妻,fūqī,"phu thê, vợ chồng",,
失业,shīyè,thất nghiệp,,
失去,shīqù,"thất khứ, mất đi",,
失望,shīwàng,thất vọng,,
失眠,shīmián,"thất miên, mất ngủ",,
失落,shīluò,"thất lạc, lạc",,
失误,shīwù,"sai sót, sơ xuất",,
失败,shībài,thất bại,,
失踪,shīzōng,mất tích,,
头发,tóufǎ,đầu tóc,,
头脑,tóunǎo,đầu não,,
夸,kuā,"ngoa, khuếch đại, phóng đại",,
夸张,kuāzhāng,khoa trương,,
夹子,jiázi,"cái kẹp, cái cặp",,
夹杂,jiázá,"chen lẫn, pha trộn",,
奇妙,qímiào,"kỳ diệu, tinh xảo",,
奇怪,qíguài,kỳ quái,,
奇迹,qíjī,kỳ tích,,
奉献,fèngxiàn,hiến dâng,,
奋斗,fèndòu,phấn đấu,,
奔波,bēnbō,bôn ba,,
奔驰,bēnchí,"lao, vụt",,
奖,jiǎng,"giải thưởng, phần thưởng",,
奖励,jiǎnglì,khen thưởng,,
奖学金,jiǎngxuéjīn,học bổng,,
奖赏,jiǎngshǎng,phần thưởng,,
奖金,jiǎngjīn,tiền thưởng,,
套,tào,"bao, bọc",,
奠定,diàndìng,"đặt, gây",,
奢侈,shēchǐ,xa xỉ,,
奥秘,àomì,"huyền bí, bí ẩn",,
女,nǚ,nữ,,
女人,nǚrén,con gái,nữ nhân,
女儿,nǚ'ér,đứa con gái,,
女士,nǚshì,"nữ sĩ, Ms",,
女性,nǚxìng,"nữ tính, phụ nữ",,
奴隶,núlì,nô lệ,,
奶奶,nǎinai,bà nội,,
她,tā,cô ấy,,
好,hǎo,tốt,,
好像,hǎoxiàng,"hình như, dường như",,
好友,hǎoyǒu,hảo hữu,,
好受,hǎoshòu,dễ chịu,,
好吃,hào chī,ngon,,
好处,hǎochù,"1. lợi ích; 2. chỗ tốt, điểm tốt, ",,
好奇,hàoqí,"háo kỳ, hiếu kỳ",,
好客,hàokè,hiếu khách,,
好意,hǎoyì,"hảo ý, lòng tốt",,
好感,hǎogǎn,"hảo cảm, tình cảm đẹp",,
好用,hǎo yòng,"dùng tốt, hữu dụng",,
好笑,hǎoxiào,rất buồn cười,,
如今,rújīn,như hiện nay,,
如何,rúhé,như thế nào,,
如果,rúguǒ,nếu như,,
如此,rúcǐ,như vậy,,
妄想,wàngxiǎng,"tính toán ngông cường, mơ mông hão huyền",,
妇女,fùnǚ,phụ nữ,,
妈妈,māmā,mẹ,,
妥协,tuǒxié,thỏa hiệp,,
妥善,tuǒshàn,ổn thỏa tốt đẹp,,
妥当,tuǒdang,thỏa đáng,,
妨碍,fáng'ài,trở ngại,,
妹妹,mèimei,em gái,,
妻子,qīzi,"vợ, Thê Tử",,
始终,shǐzhōng,"từ đầu đến cuối, trước sau",,
姐姐,jiějiě,chị,,
姑且,gūqiě,tạm thời,,
姑姑,gūgū,cô cô,,
姑娘,gūniáng,cô nương,,
姓,xìng,"TÍNH, họ",,
姓名,xìngmíng,"họ tên, họ và tên",,
委员,wěiyuán,ủy viên,,
委屈,wěiqu,uất ức,,
委托,wěituō,ủy thác,,
姥姥,lǎolao,"bà ngoại, bã đỡ",,
姿势,zīshì,tư thế,,
姿态,zītài,"tư thái, tư thế",,
威信,wēixìn,uy tín,,
威力,wēilì,uy lực,,
威望,wēiwàng,"uy danh, danh vọng",,
威胁,wēixié,uy hiếp,,
威风,wēifēng,"uy phong, oai phong",,
娃娃,wáwá,búp bê,,
娇气,jiāoqì,yếu ớt; mỏng manh (ý chí),,
娱乐,yúlè,"giải trí, showbiz",,
娶,qǔ,"lấy vợ, cưới vợ",,
婚姻,hūnyīn,hôn nhân,,
婚礼,hūnlǐ,hôn lễ,,
婴儿,yīng'ér,"hài nhi, trẻ sơ sinh",,
媒介,méijiè,môi giới,,
媒体,méitǐ,"giới truyền thông, media",,
媳妇,xífù,"con dâu, nàng dâu",,
嫁,jià,lấy chồng,,
嫂子,sǎozi,chị dâu,,
嫉妒,jídù,đố kị; ghen ghét,,
嫌,xián,"hiềm nghi, nghi ngờ, hiềm khích",,
嫌疑,xiányí,hiềm nghi,,
嫩,nèn,"non, mềm",,
子弹,zǐdàn,"đạn, viên đạn",,
孔,kǒng,"động, hầm, Khổng",,
孕育,yùnyù,thai nghén,,
字,zì,từ,,
字典,zìdiǎn,tự điển,,
字幕,zìmù,phụ đề,,
字条,zìtiáo,mảnh giấy viết,,
字母,zìmǔ,chữ cái,,
存,cún,tồn,,
存包,cún bāo,"gửi túi, ký gửi túi",,
存在,cúnzài,tồn tại,,
孙子,sūnzi,cháu,,
孝顺,xiàoshùn,hiếu thuận,,
季,jì,"mùa, tiết",,
季军,jìjūn,huy chương đồng; hạng 3,,
季度,jìdù,"quý, 3 tháng",,
季节,jìjié,"tiết, mùa, mùa vụ",,
孤单,gūdān,cô đơn,,
孤独,gūdú,cô độc,,
孤立,gūlì,cô lập,,
学,xué,học,,
学习,xuéxí,học tập,,
学会,xuéhuì,học được,,
学位,xuéwèi,học vị,,
学历,xuélì,học lực,,
学期,xué qí,học kỳ,,
学术,xuéshù,học thuật,,
学校,xuéxiào,trường học,,
学生,xuéshēng,học sinh,,
学说,xuéshuō,học thuyết,,
学问,xuéwèn,học vấn,,
孩子,háizi,đứa con,,
宁可,nìngkě,thà rằng,,
宁愿,nìngyuàn,"thà rằng, thà",,
宁肯,nìngkěn,thà rằng,,
它,tā,nó,,
它们,tāmen,chúng nó,,
宇宙,yǔzhòu,vũ trụ,,
守护,shǒuhù,"canh giữ, bảo vệ",,
安全,ānquán,an toàn,,
安宁,ānníng,an ninh,,
安居乐业,ānjūlèyè,an cư lạc nghiệp,,
安慰,ānwèi,an ủi,,
安排,ānpái,"an bài, sắp xếp",an bài,
安置,ānzhì,bố trí ổn thỏa,,
安装,ānzhuāng,"an trang, lắp đặt",,
安详,ānxiáng,"khoan thai, điềm tĩnh",,
安静,ānjìng,"an tĩnh, yên tĩnh, im lặng",,
宋,sòng,Tống,,
完,wán,"hết, xong; toàn vẹn",,
完全,wánquán,hoàn toàn,,
完善,wánshàn,hoàn thiện,,
完备,wánbèi,"đủ, hoàn bị, hoàn mỹ",,
完成,wánchéng,hoàn thành,,
完整,wánzhěng,hoàn chỉnh,,
完毕,wánbì,hoàn tất,,
完美,wánměi,hoàn mỹ,,
宏伟,hóngwěi,hùng vĩ,,
宏观,hóngguān,vĩ mô,,
宗教,zōngjiào,tôn giáo,,
宗旨,zōngzhǐ,"tôn chỉ, mục đích",,
官,guān,quan (quan chức),,
官方,guānfāng,"phía chính phủ, nhà nước",,
定义,dìngyì,định nghĩa,,
定决,dìng jué,quyết định,,
定期,dìngqí,định kỳ,,
宝贝,bǎobèi,"bảo bối, baby",,
宝贵,bǎoguì,"bảo quý, trân quý",,
实习,shíxí,thực tập,,
实事求是,shíshìqiúshì,thực sự cầu thị,,
实力,shí lì,thực lực,,
实在,shízài,"thực sự, thực tại",,
实惠,shíhuì,lợi ích thực tế,,
实施,shíshī,"thực hiện, thực thi",,
实现,shíxiàn,thực hiện,,
实用,shíyòng,thực dụng,,
实行,shíxíng,thực hành,,
实话,shíhuà,"thực thoại, lời nói thật",,
实质,shízhì,thực chất,,
实践,shíjiàn,thực tiễn,,
实际,shíjì,thực tế,,
实验,shíyàn,thực nghiệm,,
宠物,chǒngwù,thú cưng,,
审判,shěnpàn,thẩm phán,,
审查,shěnchá,thẩm tra,,
审理,shěnlǐ,thẩm tra xử lý (vụ án),,
审美,shěnměi,thẩm mỹ,,
客人,kèrén,khách mời,,
客厅,kètīng,"phòng khách, sảnh",khách thính,
客户,kèhù,khách hàng,,
客服,kèfù,chăm sóc khách hàng,,
客观,kèguān,khách quan,,
宣传,xuānchuán,tuyên truyền,,
宣布,xuānbù,tuyên bố,,
宣扬,xuānyáng,tuyên dương,,
宣誓,xuānshì,tuyên thệ,,
室内,shìnèi,"trong phòng, nội thất",,
宪法,xiànfǎ,hiến pháp,,
宫殿,gōngdiàn,cung điện,,
宰,zǎi,"chủ quản, chủ trì",,
害,hài,hại,,
害怕,hàipà,sợ hãi,,
害羞,hàixiū,"xấu hổ, thẹn thùng",,
宴会,yànhuì,"yến hội, tiệc rượu",,
家,jiā,"nhà, gia",,
家乡,jiāxiāng,"quê nhà, quê hương",,
家伙,jiāhuo,"cái thứ, thằng cha",,
家具,jiājù,"vật dụng gia đình, gia cụ",,
家务,jiāwù,"gia vụ, việc nhà",,
家喻户晓,jiāyùhùxiǎo,nhà nhà đều biết,,
家属,jiāshǔ,"gia thuộc, người trong gia đình",,
家常,jiācháng,"việc già, chuyện nha",,
家庭,jiātíng,gia đình,,
容器,róngqì,"đồ dựng, đồ chứa",,
容忍,róngrěn,"khoan dung, tha thứ",,
容易,róngyì,dễ dàng,,
容纳,róngnà,dung nạp,,
容貌,róngmào,dung mạo,,
宽,kuān,rộng,,
宽敞,kuānchǎng,"rộng rãi, rộng lớn",,
宾馆,bīnguǎn,nhà khách,,
宿舍,sùshè,ký túc xác,,
寂寞,jìmò,cô đơn,,
寂静,jìjìng,"vắng vẻ, trống trải",,
寄,jì,gửi,,
寄信,jì xìn,gửi thư,,
寄托,jìtuō,"ký thác, gởi nhờ",,
密切,mìqiè,mật thiết,,
密封,mìfēng,"phong kín, dán kín",,
密度,mìdù,mật độ,,
密码,mìmǎ,mật mã,,
密码 ,mìmǎ,mật mã,,
密集,mìjí,"tập trung, đông đúc",,
富,fù,"giàu, PHÚ",,
富裕,fùyù,giàu có; sung túc,,
寒假,hánjià,kỳ nghỉ đông,,
寒冷,hánlěng,"lạnh, hàn lạnh",,
寒暄,hánxuān,"hàn huyên, hỏi han",,
寓言,yùyán,"ngụ ngôn, truyện ngụ ngôn",,
对,duì,"1. đối (với), đối (diện); 2. đúng",,
对不起,duìbùqǐ,xin lỗi,,
对于,duìyú,"đối về, về …",,
对付,duìfù,"đối phó, ứng phó",,
对岸,duì'àn,bờ đối diện,,
对应,duìyìng,đối ứng,,
对待,duìdài,đối đãi,,
对手,duìshǒu,đối thủ,,
对抗,duìkàng,đối kháng,,
对方,duìfāng,đối phương,,
对此,duì cǐ,do đó,,
对比,duìbǐ,đối so,,
对照,duìzhào,đối chiếu,,
对称,duìchèn,"cân đối, đối xứng",,
对立,duìlì,đối lập,,
对策,duìcè,đối sách,,
对联,duìlián,câu đối,,
对话,duìhuà,đối thoại,,
对象,duìxiàng,đối tượng,,
对面,duìmiàn,đối diện,,
寺庙,sìmiào,đền miếu,,
寻找,xúnzhǎo,tìm kiếm,,
寻觅,xúnmì,"tìm kiếm, tìm tòi",,
导向,dǎoxiàng,hướng phát triển,,
导弹,dǎodàn,đạn đạo,,
导游,dǎoyóu,hướng dẫn viên du lịch,,
导演,dǎoyǎn,đạo diễn,,
导致,dǎozhì,"dẫn đến, làm cho",,
导航,dǎoháng,hướng dẫn,,
寿命,shòumìng,"thọ mệnh, tuổi thọ",,
封建,fēngjiàn,Phong Kiến,,
封锁,fēngsuǒ,"phong tỏa, bao vây",,
封闭,fēngbì,"niêm phong, đóng chặt",,
射击,shèjí,xạ kích,,
将会,jiāng huì,sẽ,,
将军,jiāngjūn,chiếu tướng,,
将来,jiānglái,tương lai,,
将来 ,jiānglái ,tương lai,,
将近,jiāngjìn,sắp tới,,
尊严,zūnyán,tôn nghiêm,,
尊敬,zūnjìng,tôn kính,,
尊重,zūnzhòng,tôn trọng,,
小,xiǎo,nhỏ,,
小伙子,xiǎohuǒzi,chàng trai,,
小偷,xiǎotōu,"kẻ trộm, kẻ cắp, tiểu thâu",,
小吃,xiǎochī,đồ ăn vặt,,
小姐,xiǎojiě,"tiểu thư, quý cô",,
小心,xiǎoxīn,cẩn thận,,
小心翼翼,xiǎoxīnyìyì,cẩn thận từng li từng tí,,
小时,xiǎoshí,1 giờ đồng hồ,,
小时候,xiǎoshíhòu,lúc nhỏ,,
小气,xiǎoqì,"keo kiệt, nhỏ mọn",,
小说,xiǎoshuō,tiểu thuyết,,
小麦,xiǎomài,"tiểu mạch, lúa mì",,
少,shǎo,ít,,
少年,shàonián,thiếu niên,,
少数,shǎoshù,"số ít, thiểu số",,
尖端,jiānduān,"mũi nhọn, đỉnh điểm",,
尖锐,jiānruì,"sắc bén, sắc nhọn",,
尝,cháng,nếm thử,,
尝试,chángshì,thử,,
尤其,yóuqí,"đặc biệt là, nhất là",,
就,jiù,"thì, liền, đã, Tựu",,
就业,jiùyè,"vào nghề, đi làm",,
就职,jiùzhí,"nhậm chức, nhận chức",,
就近,jiùjìn,lân cận,,
尴尬,gāngà,ngượng ngùng,,
尸体,shītǐ,"thi thể, xác",,
尺子,chǐzi,cây thước,,
尽力,jìnlì,tận lực,,
尽快,jǐnkuài,nhanh chóng,,
尽管,jǐnguǎn,mặc dù,,
尽量,jǐnliàng,"cố gắng hết sức, ra sức",tận lượng,
尾巴,wěibā,cái đuôi,,
局势,júshì,"thế cuộc, tình hình",,
局部,júbù,cục bộ,,
局限,júxiàn,"hạn chế, giới hạn",,
局面,júmiàn,cục diện,,
屁股,pìgu,"mông, đít",,
层,céng,tầng,,
层出不穷,céngchūbùqióng,tầng tầng lớp lớp,,
层次,céngcì,trình tự,,
居住,jūzhù,"cư trú, sống",,
居然,jūrán,"lại có thể, lại",,
屈服,qūfú,khuất phục,,
届,jiè,"khóa; lần, đến (lúc)",,
屋子,wūzi,"gian nhà, buồng",,
屏障,píngzhàng,"cái chắn, bình phong",,
屑,xiè,"vụn, nhỏ",,
展开,zhǎnkāi,triển khai,,
展望,zhǎnwàng,triển vọng,,
展现,zhǎnxiàn,"bày ra, hiện ra",,
展示,zhǎnshì,"mở ra, bày ra, phơi ra(một cách rõ ràng)",,
展览,zhǎnlǎn,triển lãm,,
属于,shǔyú,thuộc về,,
屡次,lǚcì,"nhiều lần, liên tiếp",,
履行,lǚxíng,thi hành,,
山,shān,núi; Sơn,,
山脉,shānmài,"dãy núi, rặng núi",,
岁,suì,tuổi,,
岁月,suìyuè,năm tháng,,
岂有此理,qǐyǒucǐlǐ,lẽ nào lại như vậy,,
岔,chà,"rẽ, nhánh",,
岗位,gǎngwèi,cương vị,,
岛,dǎo,đảo,,
岛屿,dǎoyǔ,"đảo, hòn đảo",,
岩石,yánshí,nham thực,,
岳父,yuèfù,"nhạc phụ, cha vợ",,
岸,àn,"bờ, bến",,
峡谷,xiágǔ,"khe sâu, khe hẹp",,
崇拜,chóngbài,sùng bái,,
崇敬,chóngjìng,sùng kính,,
崇高,chónggāo,"cao thượng, cao quý",,
崩溃,bēngkuì,"tan vỡ, sụp đổ",,
崭新,zhǎnxīn,"mới tinh, mới toanh",,
川流不息,chuānliúbùxī,"như nước chảy, như mắc cửi",,
州,zhōu,Châu,,
巡逻,xúnluó,"tuần tra, đi tuần",,
工业,gōngyè,công nghiệp,,
工人,gōngrén,công nhân,,
工作,gōngzuò,"công việc, làm việc",,
工具,gōngjù,"công cụ, phương tiện",,
工厂,gōngchǎng,công xưởng,,
工夫,gōngfū,công phu,,
工程,gōngchéng,công trình,,
工程师,gōngchéngshī,"công trình sư, kiến trúc sư",,
工艺品,gōngyìpǐn,phẩm công nghệ,,
工资,gōngzī,"tiền công, tiền lương",,
左右,zuǒyòu,khoảng,,
左边,zuǒbiān,bên trái,,
巧克力,qiǎokèlì,socola,,
巧妙,qiǎomiào,kỳ diệu,,
巨大,jùdà,"to lớn, vĩ đại",,
巩固,gǒnggù,kiên cố,,
差,chà,"khác, thiếu",,
差不多,chàbùduō,gần giống nhau; xấp xỉ,,
差别,chābié,khác biệt,,
差距,chājù,"chênh lệch, khoảng cách",,
已经,yǐjīng,đã,,
巴不得,bābudé,ước gì,,
巴结,bājié,nịnh bợ,,
巷,xiàng,"đường hầm, ngõ hẻm",,
市,shì,thị (thành thị),,
市场,shìchǎng,"thị trường, chợ",,
布,bù,vải,,
布告,bùgào,bố cáo,,
布局,bùjú,bố cục,,
布置,bùzhì,bố trí,,
帅,shuài,đẹp trai,,
师傅,shīfù,"sư phụ, thầy dạy",,
师范,shīfàn,sư phạm,,
希望,xīwàng,hi vọng,,
帐篷,zhàng péng,"lều vải, lều bạt",,
带,dài,"dẫn, mang, đeo",,
带来,dài lái,mang lại,,
带走,dài zǒu,mang đi,,
带领,dàilǐng,"dẫn dắt, lãnh đạo",,
帮,bāng,"giúp, gúp đỡ",,
帮助,bāngzhù,"giúp đỡ, cứu,",,
帮忙,bāngmáng,"giúp, giúp đỡ",,
常,cháng,"thường, thường xuyên",,
常务,chángwù,thường vụ,,
常年,chángnián,thường niên,,
常识,chángshì,thường thức,,
帽子,màozi,"mũ, nón",,
幅,fú,"biên độ, khổ (vải)",,
幅度,fúdù,biên độ,,
幢,chuáng,"cột đá, căn, ngôi (nhà cửa)",,
干,gàn,làm,,
干净,gānjìng,"ngăn nắp, sạch sẽ",,
干劲,gànjìng,lòng hăng hái,,
干扰,gānrǎo,quấy rầy,,
干旱,gānhàn,khô hạn,,
干杯,gānbēi,cạn ly,,
干活儿,gàn huó er,làm việc,,
干涉,gānshè,can thiệp,,
干燥,gānzào,"khô, hanh",,
干脆,gāncuì,"thẳng thắn, thành thật",,
干预,gānyù,can dự,,
平,píng,"bình, bằng phẳng",,
平凡,píngfán,"bình phàm, bình thường, thông thường",,
平原,píngyuán,bình nguyên,,
平均,píngjūn,bình quân,,
平坦,píngtǎn,bằng phẳng,,
平常,píngcháng,bình thường,,
平方,píngfāng,bình phương,,
平方米,píngfāng mǐ,"m2, met vuông",,
平时,píngshí,bình thường,,
平等,píngděng,bình đẳng,,
平行,píngxíng,"bình hành, song song",,
平衡,pínghéng,"bình hành, cân đối, thăng bằng",,
平静,píngjìng,bình tĩnh,,
平面,píngmiàn,"mặt bằng, mặt phẳng",,
年,nián,năm,,
年代,niándài,niên đại,,
年底,iándǐ,cuối năm,,
年度,niándù,niên độ,,
年级,niánjí,"lớp, khối",,
年纪,niánjì,"niên kỷ, tuổi",,
年轻,niánqīng,"trẻ, tuổi trẻ",,
年轻人,niánqīng rén,người trẻ,,
年龄,niánlíng,tuổi tác,,
并,bìng,"đồng thời, và",,
并不,bìng bù,"không hề, chẳng",,
并不是,bìng bùshì,"không hề, chẳng phải",,
并且,bìngqiě,"đồng thời, ngoài ra",,
并列,bìngliè,"đặt song song, ngang hàng",,
并存,bìngcún,cùng tồn tại,,
并非,bìngfēi,bằng không,,
幸亏,xìngkuī,"may mà, may mắn",,
幸好,xìnghǎo,"may mắn, may mà",,
幸福,xìngfú,hạnh phúc,,
幸运,xìngyùn,"hạnh vận, may mắn",,
幻想,huànxiǎng,hoang tưởng,,
幼儿园,yòu'éryuán,"nhà trẻ, trường mẫu giáo",,
幼稚,yòuzhì,ấu trĩ,,
幽默,yōumò,hài hước,,
广告,guǎnggào,quảng cáo,,
广告牌,guǎnggào pái,bảng quảng cáo,,
广场,guǎngchǎng,quảng trường,,
广大,guǎngdà,quảng đại,,
广播,guǎngbò,"phát sóng, phát thanh",,
广泛,guǎngfàn,quảng rộng,,
广阔,guǎngkuò,"rộng lớn, mênh mông, quảng khoát",,
庄严,zhuāngyán,trang nghiêm,,
庄重,zhuāngzhòng,trang trọng,,
庆祝,qìngzhù,"chúc mừng, chào mừng",,
床单,chuángdān,"ra giường, khăn trải giường",,
序言,xùyán,"bài tựa, lời tựa",,
应付,yìngfù,ứng phó,,
应对,yìngduì,"ứng phó đối với, ứng đối",,
应用,yìngyòng,ứng dụng,,
应聘,yìngpìn,ứng tuyển,,
应该,yīnggāi,"phải, nên",,
应邀,yìngyāo,nhận lời mời,,
应酬,yìngchóu,tiệc xã giao,,
底,dǐ,"đáy, đế, cuối",,
庞大,pángdà,"to lớn, Bàng Đại",,
废墟,fèixū,đóng hoang tàn,,
废话,fèihuà,phí lời,,
废除,fèichú,"hủy bỏ, bãi bỏ",,
度,dù,độ,,
度过,dùguò,trải qua,,
座,zuò,"1. chỗ; 2. tòa, ngôi",,
座位,zuòwèi,chỗ ngồi,,
座右铭,zuòyòumíng,"lời răn, lời cách ngôn",,
庸俗,yōngsú,"dung tục, thấp hèn",,
廉洁,liánjié,liêm khiết,,
延伸,yánshēn,kéo dài,,
延期,yánqí,kéo dài thời hạn,,
延续,yánxù,tiếp diễn,,
延长,yáncháng,kéo dài,,
建立,jiànlì,"kiến lập, xây dựng",,
建筑,jiànzhú,kiến trúc,,
建议,jiànyì,"kiến nghị, đề nghị",,
建设,jiànshè,kiến thiết,,
建造,jiànzào,kiến tạo,,
开,kāi,mở,,
开发,kāifā,"khai phát, khai phá; mở mang",,
开始,kāishǐ,bắt đầu,,
开展,kāizhǎn,khai triển,,
开幕式,kāimù shì,khac mạc,,
开心,kāixīn,"vui vẻ, hạnh phúc",khai tâm,
开拓,kāità,"khai phá, mở rộng",,
开支,kāizhī,"chi triển, trả tiền",,
开放,kāifàng,rộng lượng hào phóng,,
开明,kāimíng,"khai sáng, văn minh",,
开朗,kāilǎng,"rộng rãi, cởi mở",,
开水,kāishuǐ,nước sôi,,
开玩笑,kāiwánxiào,"nói giỡn, đùa giỡn",,
开车,kāichē,lái xe (xe hơi),,
开辟,kāipì,"mở, khai thác, khai tịch",,
开采,kāicǎi,"khai thác, đào, bới",,
开阔,kāikuò,bao la,,
开除,kāichú,khai trừ,,
异常,yìcháng,dị thường,,
弄,nòng,"làm, kiếm cách, tìm cách",,
弄丢,nòng diū,làm mất,,
弊病,bìbìng,"tệ nạn, sai lầm",,
弊端,bìduān,"tai hại, tệ nạn",,
引导,yǐndǎo,"dẫn dắt, hướng dẫn",,
引擎,yǐnqíng,"động cơ, máy động cơ",,
引用,yǐnyòng,"trích dẫn, ủy nhiệm, viện dẫn",,
引起,yǐnqǐ,"gây ra, dẫn đến",,
弟弟,dìdì,em trai,,
张,zhāng,"TRƯƠNG (họ tên); mở ra, bày ra",,
弥漫,mímàn,"dày đặc, mù mịt",,
弥补,míbǔ,"bù đắp, đền bù",,
弦,xián,"dây cung, dây nỏ, dây đàn",,
弯,wān,"cong, khom",,
弱,ruò,"mềm, yếu",,
弱点,ruòdiǎn,điểm yếu,,
弹性,tánxìng,"tính đàn hồi, tính co giãn",,
弹钢琴,dàn gāngqín,đàn piano,,
强制,qiángzhì,cưỡng chế,,
强大,qiángdà,lớn mạnh,,
强度,qiángdù,cường độ,,
强烈,qiángliè,"cường liệt, mạnh mẽ",,
强调,qiángdiào,"cường điệu, nhấn mạnh",,
强迫,qiǎngpò,cưỡng bức,,
归根到底,guīgēn dàodǐ,"(đến cuối cùng, nói tóm lại)",,
